Question,Category,Genre,Intensity,Safe for First Time?,Safe for Work?,Egyptian Translation (Ammiya),,
What are you really good at fixing?,"Coworkers, First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,إيه الحاجة اللي شاطر أوي في تصليحها؟,,
What is one thing that you love but don't really need?,"First Date, First Time Meeting, Friends, Lovers",Deep,Light,Yes,Yes,إيه الحاجة اللي بتحبها بس مش محتاجها بجد؟,,
What’s your favorite thing about yourself?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه أكتر حاجة بتحبها في نفسك؟,,
What is the best gift you've ever received?,"First Date, First Time Meeting, Friends, Lovers",Deep,Light,Yes,Yes,إيه أحسن هدية جتلكم؟,,
What does your me-time look like?,"First Date, First Time Meeting, Friends, Lovers",Honest,Light,Yes,Yes,وقتك الخاص (Me-Time) بيبقى عامل إزاي؟,,
If you could wake up tomorrow with a new quality or ability what would it be?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Medium,Yes,Yes,لو صحيت بكرة بصفة أو قدرة جديدة، هتكون إيه؟,,
What’s something you’ve learned in the last week?,"Coworkers, First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,إيه الحاجة اللي اتعلمتها في الأسبوع اللي فات؟,,
What’s the most enjoyable part of your weekly routine?,"Coworkers, First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه أكتر جزء ممتع في روتينك الأسبوعي؟,,
For what things do you spare no expense?,"Coworkers, First Date, Friends, Lovers",Honest,Medium,No,Yes,إيه الحاجات اللي متبخلش عليها بفلوس؟,,
Who do you love to spend time with and why?,"Family, Friends, Lovers",Deep,Medium,No,Yes,بتحب تقضي وقت مع مين وليه؟,,
