Question,Category,Genre,Intensity,Safe for First Time?,Safe for Work?,Egyptian Translation (Ammiya)
When do you feel I'm most vulnerable?,"Family, Friends, Lovers",Deep,Medium,No,Yes,إمتى بتحس إني ضعيف أو محتاج سند؟
What do you think I hide from others?,"Friends, Lovers",Honest,Bold,No,No,تفتكر أنا بخبي إيه عن الناس؟
Have I ever embarrassed you unintentionally? How?,"Family, Friends, Lovers",Honest,Medium,No,No,عمرك اتكسفت بسببي من غير ما أقصد؟ إمتى؟
What's a mistake of mine you wish I would fix?,"Family, Friends, Lovers",Honest,Bold,No,No,إيه الغلطة اللي بتمنى أصلحها فيا؟
What's one thing I do that really annoys you but you've never said?,"Friends, Lovers",Honest,Bold,No,No,إيه الحاجة اللي بعملها وبتستفزك بس ماقولتليش؟
When have you felt disappointed by me?,"Friends, Lovers",Honest,Bold,No,No,إمتى خيبت ظنك؟
What's something I do that makes you question me?,"Friends, Lovers",Honest,Bold,No,No,إيه التصرف اللي بيخليك تستغربني أو تشك فيا؟
"If I broke a promise, which one would upset you most?","Friends, Lovers",Honest,Bold,No,No,لو خلفت وعد، إيه الوعد اللي هيزعل أوي لو كسرته؟
What's a truth about me you've avoided saying?,"Friends, Lovers",Honest,Bold,No,No,إيه الحقيقة اللي بتتحاشى تقولها في وشي؟
When do you think I'm hardest to understand?,"Family, Friends, Lovers",Honest,Medium,No,No,إمتى بكون صعب الفهم بالنسبة لك؟
"If I could improve one flaw, what should it be?","Family, Friends, Lovers",Honest,Bold,No,No,لو ممكن أعالج عيب واحد فيا، تفتكر يكون إيه؟
What if every decision today mattered for life — which would you change?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",What If...,Medium,Yes,Yes,لو كل قرار النهاردة مصيري، هتغير إيه؟
What if you had to explain me to a stranger — what would you say?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",What If...,Light,Yes,Yes,لو بتوصفني لحد غريب، هتقوله إيه؟
What if we got lost in a city together — what would happen first?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",What If...,Light,Yes,Yes,لو تُهنا في مدينة سوا، إيه أول حاجة هتحصل؟
What if I could read your mind for one hour — what would I learn?,"Family, First Date, Friends, Lovers",What If...,Medium,No,Yes,لو قريت أفكارك ساعة واحدة، هعرف إيه؟
What if you could live in my shoes for a week — what would surprise you most?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",What If...,Light,Yes,Yes,لو عشت مكاني أسبوع، إيه أكتر حاجة هتفاجئك؟
What if we had to survive on an island — who does what?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",What If...,Light,Yes,Yes,لو عزلونا في جزيرة مهجورة، كل واحد فينا هيعمل إيه؟
What if tomorrow we woke up as each other — what's the first thing we'd notice?,"Family, First Date, Friends, Lovers",What If...,Light,No,Yes,لو صحينا بكرة مكان بعض، إيه أول حاجة هناخد بالنا منها؟
What if we could live in any era — which one fits us best?,"Family, First Date, Friends, Lovers",What If...,Light,No,Yes,لو ينفع نعيش في أي زمن، أنهي عصر يليق علينا؟
What if we could go back to any time in our lives — where would you take me?,"Family, First Date, Friends, Lovers",What If...,Medium,No,Yes,لو رجعنا بالزمن، هتاخدني معاك فين؟
What if we switched personalities for a day — how would it go?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",What If...,Light,Yes,Yes,لو بدلنا شخصياتنا يوم، الدنيا هتمشي إزاي؟
What's my preferred way to spend a weekend?,"Family, Friends, Lovers",Know me,Light,No,Yes,بحب أقضي الويك إند إزاي؟
What's my favorite spot to relax?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه مكاني المفضل للرواق؟
What's a habit of mine you've noticed but never told me about?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه العادة اللي لقطتها فيا وماقولتليش؟
What's a weird habit of mine that I don't realize?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه العادة الغريبة اللي عندي وأنا مش حاسس؟
What's my favorite snack when I'm stressed?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه أكتر سناك بحب آكله لما بكون مضغوط؟
What's a song that always makes me happy?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه الأغنية اللي دايماً بتفرحني؟
What's something you think I'm secretly proud of?,"Family, Friends, Lovers",Know me,Light,No,Yes,تفتكر إيه الحاجة اللي أنا فخور بيها بيني وبين نفسي؟
What's something I do that you notice first?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه أول حاجة بتلاحظها فيا؟
What's a phrase I say often without noticing?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه الكلمة أو الجملة اللي بقولها كتير من غير ما أحس؟
What's my guilty pleasure TV show or movie?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه الفيلم أو المسلسل اللي مكسوف إني بحبه؟
"When have I hurt you, even unintentionally?","Friends, Lovers",Honest,Bold,No,No,إمتى جرحتك، حتى لو من غير قصد؟
What's something about me that confuses you?,"Family, Friends, Lovers",Honest,Medium,No,No,إيه الحاجة اللي فيا ومحيراك؟
"If I could improve one behavior immediately, what should it be?","Family, Friends, Lovers",Honest,Bold,No,No,لو فيه صفة واحدة فيا ينفع تتغير فجأة، تفتكر المفروض تكون إيه؟
What's a truth about me you've kept inside?,"Friends, Lovers",Honest,Bold,No,No,إيه الحقيقة اللي مخبيها عني وماقولتهاش قبل كدة؟
When do I act differently than I really am?,"Family, Friends, Lovers",Honest,Bold,No,No,إمتى بحس إني بتصرف بطريقة غير طبيعتي؟
What's one thing you think I take for granted?,"Family, Friends, Lovers",Honest,Medium,No,No,إيه الحاجة اللي تفتكر إني مش مقدر قيمتها كفاية؟
What's something I avoid admitting to myself?,"Friends, Lovers",Honest,Bold,No,No,إيه الحاجة اللي بهرب من إني أعترف بيها لنفسي؟
What's the hardest truth I need to face?,"Friends, Lovers",Honest,Bold,No,No,إيه الحقيقة المرة اللي لازم أواجهها؟
What's one thing I should hear but probably won't like?,"Friends, Lovers",Honest,Bold,No,No,إيه الكلام اللي لازم أسمعه بس مش هيعجبني؟
When have I been unfair to you?,"Friends, Lovers",Honest,Bold,No,No,إمتى جيت عليك أو ظلمتك؟
